id,question,choices,choices_list,question_concept,answerKey,answer_word,question_orthographic_noise,questionchatgpt_variations
57f92025d860e32c4e780c0d51c1c20c,What would vinyl be an odd thing to replace?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pants', 'record albums', 'record store', 'cheese', 'wallpaper'],
      dtype=object)}","['pants', 'record albums', 'record store', 'cheese', 'wallpaper']",vinyl,E,wallpaper,"{'0': 'What would vinyl be an odd thing to replace?', '0.005': 'What would vinyl be an odd thing to replace?', '0.01': 'What would vinyl be an oddpthing toEreplace?', '0.015': 'What would Pinyl be an odd ghing to replace?', '0.02': 'What would vinylnbe an odd thing to replace?', '0.025': 'What would vinyl be an odd thing to replace?', '0.03': 'What wauld vinyl be an odd thing to replace?', '0.05': 'What would vinyl be an odd thing to replaXep', '0.1': 'What would vinyl be an odd thing to replace?', '0.2': 'WhaP would vinVl be an odd thingAtoVreppace?'}","{'A1': 'What should not replace vinyl?', 'A2': 'What would be an unusual replacement for vinyl?', 'B1': 'What would be an inappropriate substitute for vinyl?', 'B2': 'In what context would replacing vinyl seem odd?', 'C1': 'In what scenario would it be unconventional to replace vinyl?', 'C2': 'Why would vinyl replacement be considered unusual?'}"
81eb4b2ee66edd8bc91ee944697c4e9f,"If you want harmony, what is something you should try to do with the world?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take time', 'make noise', 'make war', 'make peace', 'make haste'],
      dtype=object)}","['take time', 'make noise', 'make war', 'make peace', 'make haste']",something you,D,make peace,"{'0': 'If you want harmony, what is something you should try to do with the world?', '0.005': 'If you want harmony, what is something you should try to do with the world?', '0.01': 'If you want harmony, what is something you should try to do with the world?', '0.015': 'If you want harmony, what is something you should try to do with the world?', '0.02': 'If you yant harmony, what is somethiag you should try to do with the world?', '0.025': 'If you want hvrmoYy, what is something you should try to do with tSe world?', '0.03': 'Is you want Narmony, whatxis soTething you should try to do with the world?', '0.05': 'If you want Carmony, what is something you should try to do with the worlK?', '0.1': 'If you want hKrmonw,owhat is Hopething you should tryztoMdo wWth the Norld?', '0.2': 'IfayPu wanp hasOonB, what is something you shPuld try toxdo with the wvllE?'}","{'A1': 'How can you have harmony?', 'A2': 'What is necessary for achieving harmony in the world?', 'B1': 'What action promotes harmony in the world?', 'B2': 'What is a key factor in fostering harmony with the world?', 'C1': 'What is a fundamental aspect of creating harmony within the world?', 'C2': 'What is an essential element in establishing harmony on a global scale?'}"
d807e7ae60976324920c8d29eb42dad6,Where does a heifer's master live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}","['farm house', 'barnyard', 'stockyard', 'slaughter house', 'eat cake']",heifer,A,farm house,"{'0': ""Where does a heifer's master live?"", '0.005': ""Where does a heifer's master live?"", '0.01': ""Where does a heifer'j master live?"", '0.015': ""Where does a heifer's master live?"", '0.02': ""Where does a heifer's master live?"", '0.025': 'Where does a heifergs master live?', '0.03': ""Where does a heifer's master live?"", '0.05': ""Where does a heifer's raster live?"", '0.1': ""Where does a heifer's fasierSlivez"", '0.2': ""Khere doesCStheifeH's master Vove?""}","{'A1': ""Where does a cow's owner live?"", 'A2': 'Where can you find the owner of a heifer?', 'B1': ""Where is the residence of a heifer's owner?"", 'B2': 'Where does the owner of a heifer typically reside?', 'C1': 'In what location does the master of a heifer usually dwell?', 'C2': ""Where is the usual abode of a heifer's master?""}"
7ea9f721ffc662918bb0c0937a487f04,Aside from water and nourishment what does your dog need?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bone', 'charm', 'petted', 'lots of attention', 'walked'],
      dtype=object)}","['bone', 'charm', 'petted', 'lots of attention', 'walked']",dog,D,lots of attention,"{'0': 'Aside from water and nourishment what does your dog need?', '0.005': 'Aside from water and nourishment what does your dog need?', '0.01': 'Aside from water and nourishment what does your dMg need?', '0.015': 'Aside from water and nourishment what does your dog need?', '0.02': 'Aside from water and nourishment wwat does your dog need?', '0.025': 'THide from water and nourishment what does your dog need?', '0.03': 'AsXde from water and nourishment what does your dog need?', '0.05': 'AsCde fromowater and noUrichZent whatYdoes your dog need?', '0.1': 'AsideCfrom water Jnd nourishment what does cour Fog need?', '0.2': 'Asmde Prom watss aud nouriszADnZ whatNZoef yourRdogGBeed?'}","{'A1': 'What else does a dog need besides food and water?', 'A2': 'Apart from food and water, what else is essential for a dog?', 'B1': 'In addition to food and water, what else is necessary for your dog?', 'B2': 'Besides food and water, what other requirements does your dog have?', 'C1': ""What other than food and water is vital for your dog's well-being?"", 'C2': 'Besides nourishment and water, what other needs must be met for your dog?'}"
fc1d33a2301a30214523c12573f81aba,Janet was watching the film because she liked what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['erection', 'laughter', 'being entertained', 'fear', 'bordem'],
      dtype=object)}","['erection', 'laughter', 'being entertained', 'fear', 'bordem']",watching film,C,being entertained,"{'0': 'Janet was watching the film because she liked what?', '0.005': 'Janet was watching the film because she liked what?', '0.01': 'Janet was watching the film becausecshe liked what?', '0.015': 'Janet was watching the film because she liked what?', '0.02': 'Janet was watching the film because she liked what?', '0.025': 'Janet was watching the film because she liked what?', '0.03': 'Janet wac watciing the film because she liked what?', '0.05': 'sanet was wathhing the fiQm because she liked what?', '0.1': 'Janes waX wdtchingkHhe film becausB she liked what?', '0.2': 'nawet war wytctcpj theOiNlUCbecause she ciqDd what?'}","{'A1': 'Why was Janet watching the movie?', 'A2': ""What was Janet's reason for watching the film?"", 'B1': 'What aspect of the film did Janet enjoy?', 'B2': ""What was Janet's preference that led her to watch the movie?"", 'C1': 'What element of the film appealed to Janet?', 'C2': ""What was it about the film that attracted Janet's interest?""}"
3b8e1d236f5169b6c833a994d6d9c39a,What are you waiting alongside with when you're in a reception area?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['motel', 'chair', 'hospital', 'people', 'hotels'], dtype=object)}","['motel', 'chair', 'hospital', 'people', 'hotels']",reception area,D,people,"{'0': ""What are you waiting alongside with when you're in a reception area?"", '0.005': ""What are you waiting alongside with when you're in a reception area?"", '0.01': ""What are you waiting alongside with when you're in a reception area?"", '0.015': ""What aYe you waiting alongside with when you're in a reception area?"", '0.02': ""What are you waiting alongsidk wifh when you're in a reception area?"", '0.025': ""What are you waiting alongside with whCn you're in a reception area?"", '0.03': ""What are you waiting almngside with when you're in a reception area?"", '0.05': ""What are yob waitingNalongHide with when you're in a reception area?"", '0.1': ""Wsat arezyou waiting aaongside wFth uhen uou're in a reception arRa?"", '0.2': ""Whal are youIHaitiSg alonkMieB with Thbn you're inma recdptiJn arCa?""}","{'A1': 'What is in the waiting area with you?', 'A2': 'What accompanies you in a reception area?', 'B1': 'What other elements are present in the reception area while you wait?', 'B2': 'What else is typically found alongside you in a reception area?', 'C1': 'What additional items are typically present in the reception area where you are waiting?', 'C2': 'What other things are commonly found alongside individuals in a reception area?'}"
c5c4166f2ed3c2b3517b79e6848e9ae2,When drinking booze what can you do to stay busy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reach tentative agreement', 'stay in bed', 'stop bicycle',
       'examine thing', 'suicide'], dtype=object)}","['reach tentative agreement', 'stay in bed', 'stop bicycle', 'examine thing', 'suicide']",booze,D,examine thing,"{'0': 'When drinking booze what can you do to stay busy?', '0.005': 'When drinking booze what can you do to stay busy?', '0.01': 'When drinking booze what can you do to stay busy?', '0.015': 'Whenddrinking booze what can you do to stay busy?', '0.02': 'When drinking booze what can you do to stay busy?', '0.025': 'When drinking booze what can you do to stay busy?', '0.03': 'When drinkiny booze Shat can you do to sxay busy?', '0.05': 'Whsn drinking booze what can you do yo stQy busy?', '0.1': 'WPUn Krinking booze what can you do to stay jusO?', '0.2': 'WhedYdrinkiSb booze whatUcAn you fo to stay busy?'}","{'A1': 'What can you do to keep busy while drinking alcohol?', 'A2': 'What activities can you engage in to pass the time while drinking alcohol?', 'B1': 'What are some activities to keep you occupied while consuming alcohol?', 'B2': 'How can you occupy yourself while drinking alcohol?', 'C1': 'What are some ways to remain engaged while consuming alcoholic beverages?', 'C2': 'How can one stay occupied while indulging in alcoholic drinks?'}"
6dc5b2884737e66543ce65f8dc40c992,A fencing thrust with a sharp sword towards a person would result in what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['injury', 'small cuts', 'fever', 'competition', 'puncture wound'],
      dtype=object)}","['injury', 'small cuts', 'fever', 'competition', 'puncture wound']",fencing,E,puncture wound,"{'0': 'A fencing thrust with a sharp sword towards a person would result in what?', '0.005': 'A fencing thrust with a sharp sword towards a person would result in what?', '0.01': 'A fencing thrust with a sharp sword towards a person would result in what?', '0.015': 'A fencing thrust with a sharp sword tUwards a person would resuyt in what?', '0.02': 'A fencing thrBst with a sharp sword towards a person would result Jn whIt?', '0.025': 'A fencing thrust with a shYrp sword towards a person would result in what?', '0.03': 'A fencing thrust wxtjWa iharp sword towards a person would result in whay?', '0.05': 'A fencing thrust wPth fosharp sword towards a pTrson would result Tn what?', '0.1': 'A fencing thrust wlth a sharp sword towYrds a cerson wYuld resYlt in what?', '0.2': 'A fOncing tUrust with asstarpjswerd tbwards H pGSson Oould reVult an wpat?'}","{'A1': 'What happens if someone thrusts a sharp sword in fencing?', 'A2': 'What is the outcome of a fencing thrust with a sharp sword?', 'B1': 'What would be the consequence of thrusting a sharp sword in fencing towards a person?', 'B2': 'What would occur if a sharp sword were thrust toward a person in fencing?', 'C1': 'What would happen as a result of executing a fencing thrust with a sharp sword towards a person?', 'C2': 'What outcome is expected when a sharp sword is used to thrust at a person in fencing?'}"
8af63d58cc35061dec38e5448c325988,"Unlike a spider and his many sight seers, people only have what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tongues', 'names', 'brains', 'feelings', 'two eyes'], dtype=object)}","['tongues', 'names', 'brains', 'feelings', 'two eyes']",people,E,two eyes,"{'0': 'Unlike a spider and his many sight seers, people only have what?', '0.005': 'Unlike a spider and his many sight seers, people only have what?', '0.01': 'Unlike a spuder and his many sight seers, people only have what?', '0.015': 'Unlike a spider and his mNny sight seers, people only have what?', '0.02': 'Unlike a spider and his many sight seers, people mnly have what?', '0.025': 'Unlike a spider and his many sight seers, people only have what?', '0.03': 'UnlikR a spider and his many sight slers, people only have what?', '0.05': 'Unlike a spider and his manV sight seers, peoUledonly haveOwhat?', '0.1': 'Unmike a spider and hisEmany sight seerssYpeople only have what?', '0.2': 'Unlike a spideK andXhisYmany sigMt seers, pecple only hpve whfw?'}","{'A1': 'What do people have unlike spiders?', 'A2': 'What is a difference between people and spiders?', 'B1': 'What is unique about what people possess compared to spiders?', 'B2': 'What is a distinguishing characteristic of human beings compared to spiders?', 'C1': 'In contrast to spiders, what do humans possess?', 'C2': 'What singular attribute do humans possess that spiders do not?'}"
768fb09deab56046e1565b6a2556ad5c,Where do adults use glue sticks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'desk drawer', 'at school', 'office',
       'kitchen drawer'], dtype=object)}","['classroom', 'desk drawer', 'at school', 'office', 'kitchen drawer']",glue stick,D,office,"{'0': 'Where do adults use glue sticks?', '0.005': 'Where do adults use glue sticks?', '0.01': 'Where do adults use glue sticks?', '0.015': 'Where do adults use glueKsticks?', '0.02': 'Where do adults use glue sticks?', '0.025': 'Where do adults use glue sticks?', '0.03': 'Whrre do adults use glue sticks?', '0.05': 'WhereQdo adults use glue sticks?', '0.1': 'there do adults use glue stMcis?', '0.2': 'WhareHuo adllts use glue stiMks?'}","{'A1': 'Where do adults put glue sticks?', 'A2': 'In what situations do adults use glue sticks?', 'B1': 'In what contexts do adults typically employ glue sticks?', 'B2': 'Where are glue sticks commonly utilized by adults?', 'C1': 'For what purposes do adults use glue sticks?', 'C2': 'In what scenarios do adults find it necessary to use glue sticks?'}"
cd639cf3ff82f825ace7dd2b087562bd,What could go on top of wood?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lumberyard', 'synagogue', 'floor', 'carpet', 'hardware store'],
      dtype=object)}","['lumberyard', 'synagogue', 'floor', 'carpet', 'hardware store']",wood,D,carpet,"{'0': 'What could go on top of wood?', '0.005': 'What could go on top of wood?', '0.01': 'What could go on top of wood?', '0.015': 'What could go on top of wood?', '0.02': 'What could go on top of wood?', '0.025': 'What could go on top of wood?', '0.03': 'Bhat could go on top of wood?', '0.05': 'What could go on top of wood?', '0.1': 'What could go ov tmp of wood?', '0.2': 'Wpat joulQ goDon top of wood?'}","{'A1': 'What can you put on top of wood?', 'A2': 'What is suitable to place on top of wood?', 'B1': 'What objects might be placed on top of wood?', 'B2': 'What items are commonly positioned on top of wood?', 'C1': 'What are some things that may be placed atop wood?', 'C2': 'What objects are typically placed above wood?'}"
8d79cc5e4eea11f50fab18fdea20fd4f,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sadness', 'anxiety', 'inspiration', 'discomfort', 'insights'],
      dtype=object)}","['sadness', 'anxiety', 'inspiration', 'discomfort', 'insights']",sitting quietly,C,inspiration,"{'0': 'The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?', '0.005': 'The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?', '0.01': 'The artist zas sitting quietly pondering, then suddenly he began to paint Vhen what struck him?', '0.015': 'The artist was sitting quietly Hondering, then suddenly he began to paint when what struck Tim?', '0.02': 'The artist waswsitting quietly pondering, then suddenly he began to paint when what struck him?', '0.025': 'Thp artist vas sittingsquietly pondering, then suddenly he begrn to paint when what struck him?', '0.03': 'The artist was sitting quietly pondering, then suddenly he beian to paint when what struck him?', '0.05': 'Thelartist was sitting quietly pondering, tken suddenly pe yegyn to paint when what strZck him?', '0.1': 'The artist wasqsizting quietly pCnderAng, then suddeFly he begag to paint wYen whaj struck iim?', '0.2': 'The arYist waQ sittvnY huRetly ponderinb, thvl suIdenly he hegaQ tompainL wYen ihat stouck yim?'}","{'A1': 'What made the artist start painting suddenly?', 'A2': 'What caused the artist to begin painting abruptly?', 'B1': 'What inspired the artist to start painting all of a sudden?', 'B2': 'What prompted the artist to begin painting unexpectedly?', 'C1': 'What was the catalyst for the artist to suddenly commence painting?', 'C2': 'What event triggered the artist to start painting out of the blue?'}"
